OBJECTID,HUC,WBID,DISTRICT,PLANNING_UNIT,GROUP_NUMBER,GROUP_NAME,WATERBODY_NAME,WATER_TYPE,CLASS,TARGET_PARAMETERS,BACTERIA,NUTRIENTS,METALS,BIOLOGY,FLORA,PESTICIDES,BACT_COUNT,NUTRIENTS_COUNT,METALS_COUNT,BIOLOGY_COUNT,FLORA_COUNT,PESTICIDES_COUNT,FIELD_PARAMETERS,TRACERS_COUNT,MARKERS_COUNT,TRACERS,MARKERS,SHAPEAREA,SHAPELEN
113,03080103,2415A,NED,Black Creek,Group 2,Lower St. Johns,BLACK CREEK ABOVE ST JOHNS RIVER,STREAM,3F,"Biology, Nutrients",Yes,Yes,,Yes,Yes,,1,5,0,1,1,0,Yes,0,0,,,17246515.30105,29516.4689064125
114,03130013,1242,NWD,New River,Group 2,Apalachicola - Chipola,GULLY BRANCH,STREAM,3F,"Dissolved Oxygen, Metals, Microbiology, Nutrients",Yes,Yes,Yes,,Yes,,6,5,5,0,1,0,Yes,0,0,,,12870632.9154125,16627.6029495418
115,03110101,3699B,NED,Waccasassa River,Group 1,Suwannee,WACCASASSA RIVER,ESTUARY,2,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,11012061.9985125,21419.059239413
116,03100101,2048C,SD,Lower Peace River,Group 3,Sarasota Bay - Peace - Myakka,FLOPBUCK CREEK,ESTUARY,3M,"Dissolved Oxygen, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,2113146.769775,5947.30147682688
117,03140104,271,NWD,Blackwater River,Group 4,Pensacola,ATES CREEK,STREAM,3F,Microbiology,Yes,,Yes,,,,5,0,5,0,0,0,Yes,0,0,,,13048748.633875,19440.9296000778
118,03140103,30G,NWD,Yellow River,Group 4,Pensacola,TRAMMEL CREEK,STREAM,3F,Microbiology,Yes,,Yes,,,,5,0,5,0,0,0,Yes,0,0,,,15255591.923875,22333.7455603467
119,03080103,2368,NED,Black Creek,Group 2,Lower St. Johns,LITTLE BLACK CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Microbiology, Pesticides",Yes,,,Yes,Yes,Yes,5,0,0,1,1,5,Yes,0,0,,,35470855.6791375,49116.2758695051
120,03070204,2392,NED,Upper St. Marys River,Group 4,Nassau - St. Marys,PALESTINE LAKE,LAKE,3F,"Metals, Nutrients",,Yes,Yes,,,,0,5,5,0,0,0,Yes,2,0,Yes,,3730674.247725,9089.08111644217
121,03080201,2406C,NED,Tolomato River,Group 5,Upper East Coast,DEEP CREEK (MARINE SEGMENT),ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,2142385.1323625,8213.64091065403
122,03130014,1274A,NWD,Apalachicola Bay,Group 2,Apalachicola - Chipola,EAST BAY,ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,31055403.792875,41344.0784922231
123,03100207,1567,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,STEVENSON CREEK (TIDAL SEGMENT),ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,5,0,Yes,,6969384.7734125,15360.2535430171
124,03100207,1538,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,CURLEW CREEK TIDAL,ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,5,10,0,0,0,0,Yes,0,0,,,949859.262025,4817.17960244324
125,03110205,3422X,NED,Middle Suwannee,Group 1,Suwannee,TELFORD SPRING,SPRING,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,72605.1576,956.403105763927
126,03140105,548F,NWD,Pensacola Bay,Group 4,Pensacola,BAYOU GRANDE,ESTUARY,3M,"Dissolved Oxygen, Nutrients",Yes,Yes,,,,,4,15,0,0,0,0,Yes,0,0,,,4782772.7538375,38381.6757350478
127,03080103,2410,NED,Black Creek,Group 2,Lower St. Johns,SWIMMING PEN CREEK,STREAM,3F,"Biology, Metals, Nutrients",Yes,Yes,Yes,Yes,Yes,,1,5,10,1,1,0,Yes,0,0,,,7763046.8152125,15713.5915706739
128,03140104,18,NWD,Blackwater River,Group 4,Pensacola,BIG COLDWATER CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,7,10,0,0,0,0,Yes,6,6,Yes,Yes,56984994.7689875,42901.5476255504
129,03140104,260,NWD,Blackwater River,Group 4,Pensacola,CLEAR CREEK,STREAM,3F,Nutrients,Yes,Yes,,,,,5,10,0,0,0,0,Yes,0,0,,,63072458.044,46771.5203683242
130,03080201,2580A,NED,Pellicer Creek,Group 5,Upper East Coast,PELLICER CREEK,ESTUARY,2,"Metals, Microbiology, Pesticides",Yes,Yes,Yes,,,Yes,5,5,5,0,0,5,Yes,0,0,,,6629278.856625,13141.3909960358
131,03080103,2415C,NED,Black Creek,Group 2,Lower St. Johns,BLACK CREEK (SOUTH FORK),STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,31664241.364775,55337.1193785642
132,03080103,2205C,NED,Intracoastal Waterway,Group 2,Lower St. Johns,"ICWW (DUVAL COUNTY; ST JOHNS COUNTY)",ESTUARY,3M,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,62165200.9755438,74313.9548052338
133,03080201,2435,NED,Tolomato River,Group 5,Upper East Coast,CAPO CREEK,ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,,,,,10,5,0,0,0,0,Yes,0,0,,,3221645.0771625,8354.42917381874
134,03120001,1146Z,NWD,Coastal Watershed and Apalachee Bay,Group 1,Ochlockonee - St. Marks,SPRING CREEK SPRING,SPRING,3M,Nutrients,,Yes,,,,,0,10,0,0,0,0,Yes,0,0,,,864973.2416125,4072.27655511651
135,03090204,3259B1,SD,Southwest Coast,Group 1,Everglades West Coast,DRAINAGE TO CORKSCREW SWAMP,STREAM,3F,"Dissolved Oxygen, Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,6,5,6,0,0,0,Yes,0,0,,,91397678.5906625,66001.6807097149
136,03090204,3258EA,SD,Estero Bay,Group 1,Everglades West Coast,IMPERIAL RIVER,STREAM,3F,"Dissolved Oxygen, Flora, Microbiology",,Yes,,,Yes,,0,5,0,0,1,0,Yes,5,5,Yes,Yes,190863306.978711,89047.3504857209
137,03100207,1662,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,PINELLAS PARK DITCH NO 1 (TIDAL SEGMENT),ESTUARY,3M,"Microbiology, Nutrients, Pesticides",Yes,Yes,,,,Yes,4,5,0,0,0,5,Yes,0,0,,,2200966.20265,6769.08175408316
138,03100101,1613E,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE BELLE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,15,0,1,0,0,Yes,0,0,,,246346.1145125,3238.46435599557
139,03130011,376C,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,MOSQUITO CREEK (POTABLE AREA),STREAM,1,Pesticides,Yes,,Yes,,,Yes,4,0,4,0,0,4,Yes,0,0,,,68343.7226375,1246.56241720875
140,03140102,568A,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,ROBERTS LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,90341.037325,2532.10532965036
141,03130012,51D,NWD,Chipola River,Group 2,Apalachicola - Chipola,CHIPOLA RIVER,STREAM,3F,"Biology, Flora",Yes,,,,,,5,0,0,1,1,0,Yes,0,0,,,101416060.051112,106503.840264917
142,03110103,3310A,NED,Aucilla River,Group 1,Suwannee,AUCILLA RIVER (MARINE SEGMENT),ESTUARY,3M,"Microbiology, Nutrients",Yes,Yes,,,,,5,6,0,0,0,0,Yes,0,0,,,11940030.1373,18926.3208350165
143,03100102,1981,SD,Lower Myakka River,Group 3,Sarasota Bay - Peace - Myakka,LAKE MYAKKA (LOWER SEGMENT),LAKE,1,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,2387599.446025,11416.0787036715
144,03120001,647K,NWD,Lake Lafayette,Group 1,Ochlockonee - St. Marks,LAKE KINSALE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,42133.4728125,1446.0084447471
145,03080103,2284B,NED,North Mainstem,Group 2,Lower St. Johns,LITTLE POTTSBURG CREEK (FRESHWATER PORTION),STREAM,3F,"Biology, Metals, Microbiology, Nutrients",Yes,Yes,Yes,Yes,Yes,,5,5,5,1,1,0,Yes,6,6,Yes,Yes,6040862.9963,11955.3763314046
146,03100208,1347,CD,Lake Panasoffkee,Group 4,Withlacoochee,LAKE OKAHUMPKA,LAKE,3F,Biology,Yes,Yes,,Yes,,,5,5,0,1,0,0,Yes,0,0,,,2284297.4201,9909.02300840383
147,03100204,1642,SWD,Alafia River,Group 2,Tampa Bay Tributaries,SLOMAN BRANCH,STREAM,3F,Biology,Yes,Yes,,Yes,Yes,,1,1,0,1,1,0,Yes,1,2,Yes,Yes,4950479.5637875,9974.91341836398
148,03100204,1651,SWD,Alafia River,Group 2,Tampa Bay Tributaries,MCDONALD BRANCH,STREAM,3F,"Biology, Flora, Microbiology",Yes,,,Yes,Yes,,2,0,0,1,1,0,Yes,0,0,,,4569875.1090625,8736.30137572414
149,03110206,3649,NED,Santa Fe River,Group 1,Suwannee,COW CREEK,STREAM,3F,Pesticides,Yes,,,,,Yes,1,0,0,0,0,5,Yes,0,0,,,197438657.785287,128994.258881562
150,03110101,3703,NED,Waccasassa River,Group 1,Suwannee,HORSEHOLE CREEK,STREAM,3F,Metals,Yes,,Yes,,,,6,0,4,0,0,0,Yes,0,0,,,23623849.5668,35654.6950754032
151,03090101,1813G,SD,Lake Istokpoga,Group 4,Kissimmee River,LITTLE BONNET LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,341031.583725,2361.09648398624
152,03140203,526C,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,OPEN LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,838901.0743375,3282.15723876578
153,03140101,780A,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,RATTLESNAKE LAKE,LAKE,3F,"Biology, Nutrients",,Yes,Yes,Yes,,,0,6,1,1,0,0,Yes,0,0,,,613334.151575,3974.68389417084
154,03120003,540,NWD,North Ochlockonee River,Group 1,Ochlockonee - St. Marks,HURRICANE CREEK,STREAM,3F,"Biology, Microbiology, Nutrients, Pesticides",Yes,Yes,Yes,Yes,Yes,Yes,6,5,5,1,1,6,Yes,0,0,,,32628252.3586,40921.5287936408
155,03100207,1556A,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,CEDAR CREEK,STREAM,3F,"Microbiology, Pesticides",Yes,,,,,Yes,5,0,0,0,0,5,Yes,0,0,,,4347081.9157875,10160.9932703601
156,03090101,1758F,SD,Lake Istokpoga,Group 4,Kissimmee River,LAKE ISABELL,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,378049.417575,2462.59142851274
157,03080103,2615,NED,Crescent Lake,Group 2,Lower St. Johns,BULL CREEK DITCHES,STREAM,3F,"Biology, Microbiology, Pesticides",Yes,,,Yes,Yes,Yes,5,0,0,1,1,4,Yes,0,0,,,56618041.8262125,48583.9469738309
158,03110201,3449,NED,Upper Suwannee,Group 1,Suwannee,ROCKY CREEK NEAR WELLBORN,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,2,0,Yes,,48604152.5281125,53681.3919352505
159,03080103,2282,NED,Ortega River,Group 2,Lower St. Johns,WILLS BRANCH (NORTH PRONG),STREAM,3F,"Biology, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,6,5,0,2,2,0,Yes,0,0,,,8322447.865225,18764.4093073218
160,03100204,1675,SWD,Alafia River,Group 2,Tampa Bay Tributaries,OWENS BRANCH,STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,1,0,0,1,1,0,Yes,0,0,,,6238061.0877,10593.7596202711
161,03090101,3170J,CD,Upper Kissimmee,Group 4,Kissimmee River,UPPER CYPRESS CREEK,STREAM,3F,"Biology, Dissolved Oxygen",Yes,,,Yes,Yes,,1,0,0,1,1,0,Yes,0,0,,,7909967.7446875,15096.1601391253
162,03090101,3170L,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE INGRAM,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,170349.75755,1948.82963977847
163,03100103,2074,SD,Charlotte Harbor Proper,Group 2,Charlotte Harbor,ALLIGATOR CREEK,STREAM,1,"Biology, Metals, Microbiology, Pesticides",Yes,Yes,Yes,,,Yes,4,4,10,1,1,10,Yes,0,0,,,23514994.6449625,23210.1613937488
164,03140105,683,NWD,Pensacola Bay,Group 4,Pensacola,DEAN CREEK,STREAM,3F,Microbiology,,,,,,,0,0,0,0,0,0,Yes,3,0,Yes,,38025946.7563875,31779.5076981775
165,03140102,760,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,AIRPORT DRAIN,STREAM,3F,Flora,Yes,Yes,,,Yes,,10,1,0,0,1,0,Yes,0,0,,,8079955.7784625,16096.9079411141
166,03110203,3322A,NED,Withlacoochee River,Group 1,Suwannee,LAKE CHERRY,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,1940235.9924625,5113.71820614676
167,03100206,1498A,SWD,Coastal Old Tampa Bay Tributary,Group 1,Tampa Bay,STARVATION LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,6,0,1,0,0,Yes,0,0,,,85687.97425,1663.12881594825
168,03080103,2228B,NED,Trout River,Group 2,Lower St. Johns,MONCRIEF CREEK (FRESHWATER PORTION),STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,5,0,0,1,2,0,Yes,0,0,,,10879355.49425,15352.8563463052
169,03080103,2235,NED,North Mainstem,Group 2,Lower St. Johns,NEWCASTLE CREEK,STREAM,3F,Biology,,,,Yes,Yes,,0,0,0,1,1,0,Yes,0,0,,,2356326.6899375,7686.23807773657
170,03100101,1623X,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,RECLAIMED MINE CUT LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,680313.675575,3364.24913235337
171,03140203,337,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,FLAT CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Metals, Microbiology, Nutrients",Yes,Yes,Yes,Yes,Yes,,5,5,5,1,1,0,Yes,0,0,,,53159187.205575,45684.2159156451
172,03120001,977,NWD,St. Marks River,Group 1,Ochlockonee - St. Marks,MOORE BRANCH,STREAM,3F,"Microbiology, Pesticides",Yes,Yes,,,,Yes,6,5,0,0,0,5,Yes,0,0,,,6845819.6574125,14779.3823551923
173,03080103,2583,NED,South Mainstem,Group 2,Lower St. Johns,COW BRANCH,STREAM,3F,"Biology, Microbiology",Yes,,,,,,5,0,0,1,1,0,Yes,0,0,,,4682893.4654875,12891.6975084539
174,03080103,2308,NED,North Mainstem,Group 2,Lower St. Johns,EAGLE RUN,STREAM,3F,"Biology, Nutrients",,Yes,,Yes,Yes,,0,5,0,1,1,0,Yes,5,5,Yes,Yes,4559313.3671,11328.3497940703
175,03080103,2233,NED,North Mainstem,Group 2,Lower St. Johns,LONG BRANCH,ESTUARY,3M,"Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,4,5,5,0,0,0,Yes,5,5,Yes,Yes,5676217.4105375,11430.1630390575
176,03100207,1475A,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,LAKE DAN,LAKE,3F,Nutrients,Yes,Yes,,,,,3,6,0,0,0,0,Yes,0,0,,,131966.1361625,1662.45758280914
177,03080103,2563,NED,Deep Creek LSJR,Group 2,Lower St. Johns,UNNAMED DITCHES,STREAM,3F,"Biology, Microbiology",Yes,,,,,,5,0,0,1,1,0,Yes,0,0,,,5282280.5994,12656.0787964802
178,03100208,1371A,SWD,Tsalo Apopka,Group 4,Withlacoochee,MCKETHAN LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,121816.6283875,1555.2799236041
179,03100101,1521G,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE MIRROR,LAKE,3F,Nutrients,,Yes,,,,,0,2,0,0,0,0,Yes,0,0,,,499955.2076375,2619.14944558868
180,03080103,2254,NED,North Mainstem,Group 2,Lower St. Johns,RED BAY BRANCH,STREAM,3F,"Biology, Microbiology, Nutrients",Yes,Yes,,Yes,Yes,,5,5,0,1,1,0,Yes,5,0,Yes,,5539006.0048375,10649.2666053695
181,03130011,504,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,CROOKED CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,5,0,Yes,,18084378.1906,33929.9596139391
182,03080101,3002N,CD,Wekiva River,Group 2,Middle St. Johns,PRAIRIE LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,2,0,1,0,0,Yes,0,0,,,144219.87765,1806.39143485054
183,03100207,1382E,SWD,Middle Coastal,Group 5,Springs Coast,HIGHLAND LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,119571.2346875,1815.99059859053
184,03100208,1329W,SWD,Upper Withlacoochee,Group 4,Withlacoochee,BYSTRE LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,894111.5779125,4737.65612772007
185,03120003,680,NWD,North Ochlockonee River,Group 1,Ochlockonee - St. Marks,RICHLANDER CREEK,STREAM,3F,"Biology, Metals, Microbiology, Nutrients",Yes,Yes,Yes,Yes,Yes,,5,5,5,1,1,0,Yes,5,0,Yes,,14011545.517925,28966.006226342
186,03080102,2720,NED,Orange Creek,Group 1,Ocklawaha,CALF CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Microbiology",Yes,Yes,,Yes,Yes,,5,5,0,1,1,0,Yes,0,0,,,10978354.7133875,21826.4452637001
187,03100101,2046,SD,Lower Peace River,Group 3,Sarasota Bay - Peace - Myakka,LITTLE ALLIGATOR CREEK,ESTUARY,3M,"Metals, Nutrients",Yes,Yes,Yes,,,,10,10,10,0,0,0,Yes,0,0,,,20390014.1135,23296.1660550093
188,03110102,3473B,NED,Fenholloway,Group 1,Suwannee,FENHOLLOWAY RIVER BELOW BUCKEYE PULP MILL,STREAM,3F,Nutrients,Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,88031226.86725,53883.6130669122
189,03100102,1943,SD,Upper Myakka River,Group 3,Sarasota Bay - Peace - Myakka,INDIAN CREEK,STREAM,3F,"Metals, Nutrients",,Yes,Yes,Yes,Yes,,0,5,5,1,1,0,Yes,0,0,,,19237900.934525,21133.2866751642
190,03100101,2001,SD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,HOG BAY,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,31614087.3424875,30550.3624197365
191,03130011,1262,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,DOUBLE BAYOU,STREAM,3F,"Biology, Dissolved Oxygen",Yes,,,Yes,Yes,,1,0,0,1,1,0,Yes,0,0,,,56359430.9146625,43768.6977612531
192,03140203,719,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,LITTLE BLACK CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,7381127.117075,16191.4573409127
193,03140203,526,NWD,Choctawhatchee River,Group 3,Choctawhatchee - St. Andrew,PINE LOG CREEK,STREAM,3F,"Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,206552837.9744,160952.9679273
194,03080101,2956A,CD,Wekiva River,Group 2,Middle St. Johns,WEKIVA RIVER,STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,40868234.7506375,52477.1916103789
195,03080103,2423,NED,Black Creek,Group 2,Lower St. Johns,MILL LOG CREEK,STREAM,3F,Flora,Yes,Yes,Yes,,Yes,,5,1,1,0,1,0,Yes,0,0,,,11992602.308525,16026.9154595715
196,03080201,2442,NED,Tolomato River,Group 5,Upper East Coast,MARSHALL CREEK,ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,3833798.0820375,13002.8062543926
197,03130013,1256,NWD,New River,Group 2,Apalachicola - Chipola,ALLIGATOR HARBOR,ESTUARY,2,"Microbiology, Nutrients",Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,65103354.3295625,86490.987837399
198,03090204,3258D1,SD,Estero Bay,Group 1,Everglades West Coast,ESTERO RIVER (MARINE SEGMENT),ESTUARY,3M,Microbiology,Yes,,,,,,1,0,0,0,0,0,Yes,14,14,Yes,Yes,16598292.7021875,25015.9245564161
199,03080103,2444,NED,Black Creek,Group 2,Lower St. Johns,PETERS CREEK,STREAM,3F,Floral,Yes,Yes,,,Yes,,1,1,0,0,1,0,Yes,0,0,,,37651298.3308375,49211.2739823393
200,03080103,2446,NED,Black Creek,Group 2,Lower St. Johns,BULL CREEK,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,27154274.3853125,36418.2456901922
201,03080103,2460,NED,Sixmile Creek,Group 2,Lower St. Johns,MILL CREEK,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,2,0,Yes,,30057944.1376948,33788.1437886058
202,03110206,3504A,NED,Santa Fe River,Group 1,Suwannee,OLUSTEE CREEK,STREAM,3F,"Microbiology, Pesticides",Yes,Yes,,,,Yes,5,5,0,0,0,5,Yes,0,0,,,76516138.740225,50002.4770896652
203,03090101,1730E,SWD,Lake Istokpoga,Group 4,Kissimmee River,PABOR LAKE,LAKE,3F,Biology,,Yes,Yes,Yes,,,0,1,1,1,0,0,Yes,1,0,Yes,,162934.9721,1444.2418950489
204,03090205,3240N,SD,Caloosahatchee Estuary,Group 3,Caloosahatchee,OWL CREEK,STREAM,3F,"Biology, Dissolved Oxygen",,,,Yes,Yes,,0,0,0,1,1,0,Yes,0,0,,,25399616.8789125,28890.2222346505
205,03100201,2050,SD,Lemon Bay,Group 2,Charlotte Harbor,GOLDFISH CREEK,STREAM,3F,"Biology, Dissolved Oxygen",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,5371670.3788375,9898.99327831757
206,03110201,3389,NED,Upper Suwannee,Group 1,Suwannee,SUGAR CREEK,STREAM,3F,Biology,Yes,,,Yes,Yes,,10,0,0,1,1,0,Yes,0,0,,,7267476.47555,21120.0367722861
207,03140105,987,NWD,Perdido Bay,Group 5,Perdido,BAYOU GARCON,ESTUARY,3M,Nutrients,,Yes,,,,,0,10,0,0,0,0,Yes,0,0,,,14588737.195125,25635.8527639377
208,03140107,935,NWD,Perdido Bay,Group 5,Perdido,WEEKLY BAYOU,ESTUARY,3M,"Dissolved Oxygen, Nutrients",Yes,Yes,,,,,6,12,0,0,0,0,Yes,0,0,,,8083785.817225,16725.9576014961
209,03140105,635,NWD,Pensacola Bay,Group 4,Pensacola,WHITEOAK BAYOU,ESTUARY,3M,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,4005647.6315375,10038.0809666045
210,03140105,694,NWD,Pensacola Bay,Group 4,Pensacola,TROUT BAYOU,ESTUARY,3M,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,4358397.6793,12213.1645872392
211,03140107,697C,NWD,Perdido Bay,Group 5,Perdido,BAYOU MARCUS CREEK,STREAM,3F,"Dissolved Oxygen, Nutrients, Pesticides",Yes,Yes,,,,Yes,5,5,0,0,0,5,Yes,0,0,,,41050177.8039875,58008.9062622123
212,03140102,712,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,MULLET CREEK,ESTUARY,2,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,18638084.466875,23058.9742600469
213,03110206,3519Z,NED,Santa Fe River,Group 1,Suwannee,ICHETUCKNEE SPRING GROUP,SPRING,3F,Pesticides,Yes,,,,,Yes,1,0,0,0,0,5,Yes,0,0,,,72594.2123,956.331056416413
214,03100208,1329P,SWD,Upper Withlacoochee,Group 4,Withlacoochee,DOWLING LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,331206.34905,3402.88884764863
215,03100208,1329G,SWD,Upper Withlacoochee,Group 4,Withlacoochee,WITHLACOOCHEE RIVER,STREAM,3F,"Biology, Dissolved Oxygen",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,268975771.832135,163209.367351509
216,03090101,1619,SWD,Lake Istokpoga,Group 4,Kissimmee River,TIGER CREEK,STREAM,3F,"Biology, Flora",Yes,,,,,,5,0,0,1,1,0,Yes,0,0,,,131229893.643787,94355.2626565725
217,03100208,1329M,SWD,Upper Withlacoochee,Group 4,Withlacoochee,IRVIN LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,113773.3630375,1556.6566695855
218,03140101,1162,NWD,St. Andrews Bay,Group 3,Choctawhatchee - St. Andrew,MULE CREEK,STREAM,3F,"Dissolved Oxygen, Microbiology, Nutrients",Yes,Yes,,,Yes,,5,6,0,0,1,0,Yes,0,0,,,5679895.2909625,13133.4634548579
219,03100201,2030A,SD,Lemon Bay,Group 2,Charlotte Harbor,ALLIGATOR CREEK,STREAM,3F,Pesticides,,,,,,Yes,0,0,0,0,0,4,Yes,0,4,,Yes,14371528.83765,20453.6410885544
220,03100102,1991E,SD,Lower Myakka River,Group 3,Sarasota Bay - Peace - Myakka,MYAKKA RIVER (TIDAL SEGMENT),ESTUARY,3M,Nutrients,Yes,Yes,,,,,1,5,0,0,0,0,Yes,0,0,,,11741855.90225,33276.2441150906
221,03080103,2540,NED,Deep Creek LSJR,Group 2,Lower St. Johns,MOCCASIN BRANCH,STREAM,3F,"Biology, Microbiology",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,57530082.0137125,42522.4578934894
222,03140102,692,NWD,Choctawhatchee Bay,Group 3,Choctawhatchee - St. Andrew,BOGGY BAYOU,ESTUARY,3M,"Nutrients, Pesticides",Yes,Yes,,,,Yes,5,5,0,0,0,5,Yes,0,0,,,20154141.58245,26260.5590423845
223,03080103,2549,NED,Deep Creek LSJR,Group 2,Lower St. Johns,DEEP CREEK,STREAM,3F,Biology,Yes,,,,,,5,0,0,1,1,0,Yes,0,0,,,52737140.4611163,81114.1597728278
224,03080102,2693,NED,Orange Creek,Group 1,Ocklawaha,LOCHLOOSA CREEK,STREAM,3F,Microbiology,Yes,,,,,,4,0,0,0,0,0,Yes,0,0,,,77065186.89085,72269.6421098639
225,03090204,3258B2,SD,Estero Bay,Group 1,Everglades West Coast,HENDRY CREEK,ESTUARY,3M,Microbiology,Yes,,,,,,6,0,0,0,0,0,Yes,10,10,Yes,Yes,28816312.3825,25612.6735100575
226,03090204,3258C4,SD,Estero Bay,Group 1,Everglades West Coast,MULLOCK CREEK (MARINE SEGMENT),ESTUARY,3M,Microbiology,Yes,,,,,,2,0,0,0,0,0,Yes,5,5,Yes,Yes,17255735.182525,21299.3460563396
